Name,yt_name,Link,start_min,start_sec,end_min,end_sec
she,she,https://youtu.be/BXw0xmFB8pQ,0,0,0,3
eat,eat,https://youtu.be/d4nkMcBvUZM,0,0,0,3
time,time,https://youtu.be/4K-4FU5l7cY,0,0,0,3
day,day,https://youtu.be/11derBixy2I,0,0,0,2
her,her,https://youtu.be/qBNL8tfKk_8,0,0,0,2
he,he,https://youtu.be/Qu5KH6X5dd8,0,0,0,3
mother,mother-1,https://youtu.be/YwR00ZeFcQY,0,0,0,3
work,Work,https://youtu.be/ezlHYwdmu_c,0,0,0,3
at,at,https://youtu.be/RlIkYzzsHpg,0,0,0,2
bank,bank,https://youtu.be/IphLasWnRHk,0,0,0,2
come,come,https://youtu.be/d3i2EjGoA2k,0,0,0,3
office,office,https://youtu.be/5ov1E2nBePg,0,0,0,3
car,car,https://youtu.be/Rty4lN6R8LY,0,0,0,2
love,love,https://youtu.be/LZreqlssnWQ,0,0,0,2
play,play-1,https://youtu.be/nfcaL9-peLo,0,3,0,6
tabletennis,table tennis,https://youtu.be/RIo6nyBv2oY,0,0,0,2
spend,spend,https://youtu.be/eNbHxuaMpAw,0,0,0,3
all,all,https://youtu.be/by5LPvJU5OY,0,0,0,2
his,his,https://youtu.be/gxFroPz8ydI,0,0,0,2
a,double handed,https://youtu.be/VlqddxqAYQo,0,0,0,2
b,double handed,https://youtu.be/VlqddxqAYQo,0,4,0,5
c,double handed,https://youtu.be/VlqddxqAYQo,0,7,0,8
d,double handed,https://youtu.be/VlqddxqAYQo,0,10,0,11
e,double handed,https://youtu.be/VlqddxqAYQo,0,13,0,15
f,double handed,https://youtu.be/VlqddxqAYQo,0,17,0,18
g,double handed,https://youtu.be/VlqddxqAYQo,0,20,0,21
h,double handed,https://youtu.be/VlqddxqAYQo,0,22,0,24
i,me,https://youtu.be/f7XWdoOSSNw,0,0,0,2
j,double handed,https://youtu.be/VlqddxqAYQo,0,27,0,29
k,double handed,https://youtu.be/VlqddxqAYQo,0,31,0,32
l,double handed,https://youtu.be/VlqddxqAYQo,0,34,0,35
m,double handed,https://youtu.be/VlqddxqAYQo,0,37,0,39
n,double handed,https://youtu.be/VlqddxqAYQo,0,41,0,42
o,double handed,https://youtu.be/VlqddxqAYQo,0,43,0,45
p,double handed,https://youtu.be/VlqddxqAYQo,0,46,0,48
q,double handed,https://youtu.be/VlqddxqAYQo,0,49,0,50
r,double handed,https://youtu.be/VlqddxqAYQo,0,52,0,53
s,double handed,https://youtu.be/VlqddxqAYQo,0,55,0,57
t,double handed,https://youtu.be/VlqddxqAYQo,0,58,0,59
u,double handed,https://youtu.be/VlqddxqAYQo,1,2,1,3
v,double handed,https://youtu.be/VlqddxqAYQo,1,5,1,6
w,double handed,https://youtu.be/VlqddxqAYQo,1,8,1,9
x,double handed,https://youtu.be/VlqddxqAYQo,1,11,1,12
y,double handed,https://youtu.be/VlqddxqAYQo,1,14,1,15
z,double handed,https://youtu.be/VlqddxqAYQo,1,18,1,19
watch,watch,https://youtu.be/CBgYsD9T-uI,0,0,0,3
tv,Television,https://youtu.be/f3Hxe9Bf29k,0,0,0,3
television,Television,https://youtu.be/f3Hxe9Bf29k,0,0,0,3
we,we,https://youtu.be/AzVqMQPhOWI,0,0,0,2
us,us,https://youtu.be/My4hzshl_RY,0,0,0,2
school,school,https://youtu.be/T3DNMjNynU0,0,0,0,2
